calendar_day,TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit)
01-01,38.8416,25.0307
01-02,37.2345,22.1511
01-03,36.5847,22.592
01-04,37.67,22.4048
01-05,36.5468,20.8938
01-06,35.0049,21.2161
01-07,34.7322,20.9872
01-08,34.0942,18.9121
01-09,34.7147,18.8733
01-10,34.8672,19.4563
01-11,35.6223,19.3962
01-12,36.8817,21.3126
01-13,38.141,22.3443
01-14,36.7594,20.359
01-15,34.4675,18.5916
01-16,34.0666,17.9588
01-17,35.0375,18.8068
01-18,36.284,20.0394
01-19,35.1203,19.5476
01-20,34.7771,18.2332
01-21,33.3314,17.9893
01-22,33.4753,17.9762
01-23,37.0723,19.7387
01-24,36.9001,19.982
01-25,36.4458,20.2637
01-26,35.7628,19.6245
01-27,35.4581,18.87
01-28,35.3777,19.0449
01-29,36.4448,20.3223
01-30,36.3067,20.2985
01-31,34.8742,19.344
02-01,36.4673,20.0689
02-02,36.9579,20.8771
02-03,36.6664,19.9033
02-04,36.4262,19.8526
02-05,35.9039,18.6437
02-06,34.6488,18.5032
02-07,36.0988,18.3307
02-08,35.5231,18.9573
02-09,35.9303,17.4963
02-10,36.485,18.3238
02-11,37.2063,19.741
02-12,37.1071,20.6775
02-13,37.3541,20.2549
02-14,36.6908,20.9863
02-15,38.784,21.1022
02-16,38.7425,21.9104
02-17,38.0087,21.0264
02-18,38.6531,21.4628
02-19,40.3039,22.8095
02-20,40.5188,23.387
02-21,42.0094,23.7593
02-22,42.3077,25.2727
02-23,43.1316,26.2348
02-24,42.2183,25.2033
02-25,41.0101,23.4795
02-26,40.5263,23.3647
02-27,40.4336,23.4806
02-28,42.7767,24.4299
02-29,45.4211,22.7368
03-01,43.5173,25.0266
03-02,43.7702,26.2079
03-03,42.1963,25.3443
03-04,41.4107,25.2564
03-05,44.106,25.9826
03-06,44.3974,26.2344
03-07,44.7914,26.7491
03-08,45.788,26.7381
03-09,45.3294,26.4579
03-10,46.0375,26.4341
03-11,45.425,27.0385
03-12,45.9665,26.9249
03-13,45.604,27.8883
03-14,46.9724,28.5824
03-15,47.9561,28.9689
03-16,47.2475,28.8938
03-17,47.0454,28.0751
03-18,45.9586,27.5577
03-19,46.9744,28.7625
03-20,47.5799,30.1468
03-21,48.4162,29.5183
03-22,48.7909,28.7189
03-23,46.6272,29.3788
03-24,48.5533,29.7952
03-25,49.537,30.7115
03-26,48.9951,31.0082
03-27,49.0237,30.4652
03-28,50.0138,31.2576
03-29,51.7732,32.909
03-30,51.1479,33.1886
03-31,52.8845,32.9293
04-01,51.9287,33.4263
04-02,51.9123,32.3574
04-03,52.5625,33.0064
04-04,54.1786,33.6982
04-05,51.8331,31.7746
04-06,50.6158,31.3446
04-07,52.0224,31.8462
04-08,53.0829,33.0657
04-09,52.8357,33.7596
04-10,52.5373,32.7676
04-11,54.5379,32.9081
04-12,56.0514,34.4589
04-13,56.6675,35.8558
04-14,56.4395,35.8446
04-15,57.3013,35.4744
04-16,56.7592,36.9631
04-17,57.9479,36.4391
04-18,56.6879,35.8574
04-19,59.3381,37.6538
04-20,58.5268,37.8606
04-21,58.8181,36.984
04-22,56.2889,37.1587
04-23,57.4263,37.1667
04-24,57.7175,37.7324
04-25,57.4575,37.1827
04-26,57.768,37.5176
04-27,58.6426,36.609
04-28,57.8057,37.5913
04-29,57.7572,38.2917
04-30,60.0036,39.2228
05-01,59.9744,39.8077
05-02,60.4231,39.7756
05-03,59.5256,39.7885
05-04,58.6731,39.5
05-05,58.8184,39.8568
05-06,60.2564,40.3718
05-07,60.4188,40.9038
05-08,61.641,41.2265
05-09,61.4744,41.4487
05-10,61.8974,41.7179
05-11,62.9872,42.2436
05-12,63.8397,42.4615
05-13,61.4829,42.3568
05-14,62.0427,42.3547
05-15,63.141,43.0385
05-16,62.6524,42.8397
05-17,63.2215,43.4103
05-18,63.4444,44.9231
05-19,63.3405,44.609
05-20,64.8198,44.6987
05-21,64.7222,44.6282
05-22,64.9836,44.8932
05-23,65.0912,44.7863
05-24,65.7821,44.9359
05-25,65.5883,45.8462
05-26,65.2728,45.8141
05-27,65.2137,45.6282
05-28,65.6054,46.391
05-29,66.2279,47.7276
05-30,67.1709,47.8782
05-31,67.6311,47.9904
06-01,67.1034,47.4464
06-02,67.5141,47.5275
06-03,66.7426,47.6573
06-04,66.9582,47.5178
06-05,66.9979,47.3641
06-06,67.6572,48.1143
06-07,68.4102,48.5824
06-08,68.5093,49.1941
06-09,68.7494,49.5365
06-10,69.2417,49.2721
06-11,69.2467,49.2193
06-12,69.3159,50.9869
06-13,69.7355,50.7012
06-14,70.0013,50.9796
06-15,70.6873,51.3733
06-16,70.0976,50.8311
06-17,69.5208,50.7249
06-18,70.3029,51.2083
06-19,71.162,51.788
06-20,70.0531,51.1368
06-21,70.5468,51.3767
06-22,70.3866,51.2192
06-23,69.7421,50.347
06-24,70.0236,50.5134
06-25,70.7003,50.8271
06-26,71.0181,51.3203
06-27,71.5858,51.9995
06-28,71.1151,52.2761
06-29,71.5226,52.0526
06-30,70.765,52.4659
07-01,70.7338,52.4722
07-02,70.7457,51.8898
07-03,71.42,52.3694
07-04,70.9532,52.5156
07-05,71.2332,53.1397
07-06,71.7825,52.1869
